m,T,q0,beta,rho,method,best_twt,avg_twt,runtime
10,30,0.5,1,0.1,aco,122389,123770.33333333333,2.68
10,30,0.5,1,0.3,aco,123242,123969.33333333333,2.74
10,30,0.5,3,0.1,aco,108843,109778.66666666667,2.81
10,30,0.5,3,0.3,aco,108762,110475.0,2.72
10,30,0.7,1,0.1,aco,112419,113500.33333333333,2.54
10,30,0.7,1,0.3,aco,112330,114882.0,2.54
10,30,0.7,3,0.1,aco,106373,106586.0,2.66
10,30,0.7,3,0.3,aco,107751,108687.66666666667,2.78
10,30,0.9,1,0.1,aco,105817,106277.66666666667,2.45
10,30,0.9,1,0.3,aco,106217,106902.33333333333,2.48
10,30,0.9,3,0.1,aco,105450,105571.0,2.65
10,30,0.9,3,0.3,aco,105234,105749.33333333333,2.47
10,50,0.5,1,0.1,aco,121006,124386.0,4.52
10,50,0.5,1,0.3,aco,125934,127647.0,4.71
10,50,0.5,3,0.1,aco,108779,110746.66666666667,4.61
10,50,0.5,3,0.3,aco,109574,110615.33333333333,4.42
10,50,0.7,1,0.1,aco,112041,114915.33333333333,4.64
10,50,0.7,1,0.3,aco,116354,117397.0,4.96
10,50,0.7,3,0.1,aco,107425,107944.0,4.9
10,50,0.7,3,0.3,aco,107652,108272.66666666667,4.63
10,50,0.9,1,0.1,aco,105305,106247.66666666667,4.62
10,50,0.9,1,0.3,aco,105767,107608.33333333333,4.39
10,50,0.9,3,0.1,aco,105297,105569.0,4.1
10,50,0.9,3,0.3,aco,105278,105467.33333333333,4.17
25,30,0.5,1,0.1,aco,119996,121388.33333333333,8.16
25,30,0.5,1,0.3,aco,124206,126308.0,6.85
25,30,0.5,3,0.1,aco,109453,109661.0,8.23
25,30,0.5,3,0.3,aco,110447,110824.33333333333,7.47
25,30,0.7,1,0.1,aco,112648,114425.66666666667,6.31
25,30,0.7,1,0.3,aco,111418,114071.66666666667,6.34
25,30,0.7,3,0.1,aco,107646,108107.66666666667,6.34
25,30,0.7,3,0.3,aco,106647,107105.66666666667,6.74
25,30,0.9,1,0.1,aco,105757,106155.66666666667,6.26
25,30,0.9,1,0.3,aco,105022,105527.33333333333,6.87
25,30,0.9,3,0.1,aco,105051,105163.66666666667,6.85
25,30,0.9,3,0.3,aco,105121,105329.66666666667,6.3
25,50,0.5,1,0.1,aco,119650,122673.33333333333,13.26
25,50,0.5,1,0.3,aco,122229,125111.33333333333,13.74
25,50,0.5,3,0.1,aco,108217,109170.33333333333,12.59
25,50,0.5,3,0.3,aco,109993,110397.0,11.39
25,50,0.7,1,0.1,aco,109383,110926.66666666667,10.39
25,50,0.7,1,0.3,aco,110619,112962.66666666667,10.82
25,50,0.7,3,0.1,aco,104974,106364.0,14.52
25,50,0.7,3,0.3,aco,107605,108312.0,12.51
25,50,0.9,1,0.1,aco,105582,105927.33333333333,12.56
25,50,0.9,1,0.3,aco,105997,106540.0,10.28
25,50,0.9,3,0.1,aco,105160,105329.33333333333,10.13
25,50,0.9,3,0.3,aco,105335,105397.33333333333,10.21
50,30,0.5,1,0.1,aco,118121,121766.33333333333,13.09
50,30,0.5,1,0.3,aco,119638,120478.0,13.54
50,30,0.5,3,0.1,aco,110089,110170.66666666667,13.81
50,30,0.5,3,0.3,aco,108315,109864.66666666667,13.75
50,30,0.7,1,0.1,aco,110974,111899.33333333333,12.76
50,30,0.7,1,0.3,aco,111854,113559.66666666667,12.75
50,30,0.7,3,0.1,aco,106784,107675.66666666667,12.64
50,30,0.7,3,0.3,aco,107169,107514.0,13.06
50,30,0.9,1,0.1,aco,105791,106153.0,12.81
50,30,0.9,1,0.3,aco,105489,105745.33333333333,14.97
50,30,0.9,3,0.1,aco,105192,105257.33333333333,14.64
50,30,0.9,3,0.3,aco,105238,105297.33333333333,16.47
50,50,0.5,1,0.1,aco,119059,121176.33333333333,24.94
50,50,0.5,1,0.3,aco,117369,121004.66666666667,25.23
50,50,0.5,3,0.1,aco,108455,109240.33333333333,24.63
50,50,0.5,3,0.3,aco,108461,110030.0,23.16
50,50,0.7,1,0.1,aco,108453,112101.0,20.83
50,50,0.7,1,0.3,aco,107746,109933.0,20.75
50,50,0.7,3,0.1,aco,106465,107339.33333333333,21.18
50,50,0.7,3,0.3,aco,106825,107221.0,24.6
50,50,0.9,1,0.1,aco,105290,105531.66666666667,24.26
50,50,0.9,1,0.3,aco,105589,105827.0,25.06
50,50,0.9,3,0.1,aco,104666,105070.33333333333,22.77
50,50,0.9,3,0.3,aco,105031,105249.66666666667,22.52
50,50,0.9,3,0.1,aco_ls,102658,102927.33333333333,64.67
50,50,0.9,3,0.1,aco_ga,105157,105178.0,22.91
random,-,-,-,-,random,224480,224480,0
greedy,-,-,-,-,greedy,105233,105233,0
